dataset_id,group,metric,method_code,method_label,comparison_label,gap_raw,gap_pct
R15,classf,ARI_CLASSF,ils,ILS,ILS vs DBSCAN,-0.5848416584550924,-59.22170896622775
SEEDS,classf,ARI_CLASSF,ils,ILS,ILS vs DBSCAN,0.14080439304818582,27.5723251393279
SPIRAL,classf,ARI_CLASSF,ils,ILS,ILS vs DBSCAN,-0.9796707854128656,-97.96707854128655
WDBC,classf,ARI_CLASSF,ils,ILS,ILS vs DBSCAN,0.0022246967725045998,1884.0956966356007
WINE,classf,ARI_CLASSF,ils,ILS,ILS vs DBSCAN,-0.0072519074557742,-52.433901747802956
YEAST,classf,ARI_CLASSF,ils,ILS,ILS vs DBSCAN,0.0041236326352677,143.36251640970352
2-FACE,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,-0.12553127501318484,-17.715276225532246
200DATA,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.022385192337789017,2.791968734036226
400P3C,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.019497757697449658,2.3917129492062807
A1,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.02714832914782811,6.538366136668435
AGGREGATION,classf,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,-0.004790109809931331,-0.9309681623257487
BANKNOTE,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.00758325204903848,1.6642010620422052
BREASTB,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,-0.01116414890953088,-1.4621950115426203
BROKEN-RING,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.02056407528420867,4.1104163594066625
BUPA,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.20474064321961616,37.68219167947118
CHART,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.08651057200577011,23.730551367568754
COMPOUND,classf,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,-0.0008867977737455623,-0.13466739273787265
CONCRETEDATA,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.012861317121853122,2.682256703390355
DBLCA,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.012330283151160137,2.3328006766603675
DOWJONES,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.002537743872548903,0.3829798339173702
ECOLI,classf,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,-0.0286824708871245,-4.988737595809751
FACE,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,-0.2990114933352276,-34.41492359462626
FLAME,classf,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.09707900881607812,24.20741519599162
FORESTFIRES,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.2500773053049832,69.735105457853
GAMMA400,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.41129761497440054,179.69244444943826
GAUSS9,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,-0.20836192876437842,-36.28878692107686
GLASS,classf,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.026518541458384837,3.9043467078805953
HABERMAN,classf,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.28526097513479987,76.52439511206214
HAYES-ROTH,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.04112568740039935,7.726030054990722
INDIAN,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.26534735870169135,52.71127502674363
IONOSPHERE,classf,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,-0.07444961168573716,-11.16113520205433
IRIS,classf,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,-0.0010314140299819696,-0.16189522365377104
JAIN,classf,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.07047052011281801,15.236888548237404
MARONNA,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.050964554814407426,8.482013907586387
NEW-THYROID,classf,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.058005692567255296,7.2118857522950535
NUMBERS2,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,-0.16427409798598092,-24.485855076494936
OUTLIERS,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.027461147752923853,4.88101295137551
PARKINSONS,clust,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.20737632761197172,47.708698487644625
PATHBASED,classf,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,-0.10396248084168452,-17.888351263099448
PIMA-INDIANS,classf,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,0.04576555339989968,11.354246569703042
R15,classf,MSI,hybrid,ClustGrade-RKO Híbrido,ClustGrade-RKO Híbrido vs DBSCAN,-0.11489554583912276,-14.326752244153724
