dataset_id,group,quadrat_filter,msi_space,seed,k,msi,ari,internal_cost
AGGREGATION,classf,False,mds,2,4,0.511710813517177,0.7627209406272939,-0.511646667233252
AGGREGATION,classf,False,mds,3,4,0.49150974226517896,0.671629878640023,-0.49176090008584505
AGGREGATION,classf,False,mds,4,4,0.42472547395470833,0.5710989238421428,-0.5113419070482617
ECOLI,classf,True,feature,0,2,0.5981904057752219,0.02602327843655474,-0.6554616041068004
ECOLI,classf,True,feature,1,2,0.6049262158429575,0.026525227687657284,-0.6839685818470445
ECOLI,classf,True,feature,2,2,0.6049262158429575,0.026525227687657284,-0.6839685818470445
ECOLI,classf,True,feature,3,2,0.6049262158429575,0.026525227687657284,-0.6839685818470445
ECOLI,classf,True,feature,4,2,0.6049262158429575,0.026525227687657284,-0.6839685818470445
ECOLI,classf,True,mds,0,2,0.6065090974437518,0.02683375353757055,-0.6493074939927101
ECOLI,classf,True,mds,1,4,0.5155043246405886,0.7019087342403599,-0.5814826030611087
ECOLI,classf,True,mds,2,3,0.563482643865677,0.6397536979217874,-0.5679571653253549
ECOLI,classf,True,mds,3,4,0.4145116794607426,0.411672171649737,-0.5722911983575023
ECOLI,classf,True,mds,4,2,0.5811264239540858,0.030594225418752796,-0.6222444551659077
ECOLI,classf,False,feature,0,2,0.5668974736984859,0.03358572808799784,-0.6391646128460409
ECOLI,classf,False,feature,1,2,0.5774647091443741,0.030216646211177686,-0.6333399297557115
ECOLI,classf,False,feature,2,2,0.47692449470485077,0.028103825916439153,-0.6379617284560525
ECOLI,classf,False,feature,3,2,0.6084829292607914,0.027201918417410903,-0.6829704509462756
ECOLI,classf,False,feature,4,2,0.5768730557988605,0.030034652449091925,-0.6332681708207905
ECOLI,classf,False,mds,0,2,0.6075360561460081,0.027015630634287493,-0.6512138170976708
ECOLI,classf,False,mds,1,3,0.5568872962630607,0.6258348256389057,-0.5650319164540633
ECOLI,classf,False,mds,2,2,0.5774647091443741,0.030216646211177686,-0.6175855153420645
ECOLI,classf,False,mds,3,2,0.5774874633852597,0.030160852534396047,-0.6183019842443518
ECOLI,classf,False,mds,4,2,0.617176805259033,0.02884897706874249,-0.6649006090425895
IRIS,classf,True,feature,0,2,0.6902090547558083,0.6229542979518173,-0.638272887616697
IRIS,classf,True,feature,1,2,0.6736905321809548,0.6049581048591511,-0.6276491812022196
IRIS,classf,True,feature,2,2,0.6830933926782649,0.6091958487274469,-0.6336601185980791
IRIS,classf,True,feature,3,2,0.6823765199879741,0.620729560090779,-0.6300216069526009
IRIS,classf,True,feature,4,2,0.6868593044584117,0.6140393407084463,-0.63135858851
IRIS,classf,True,mds,0,2,0.6465202141234339,0.5933388536491827,-0.5299357030851146
IRIS,classf,True,mds,1,2,0.656563640237489,0.5960758892538375,-0.5321211788921424
IRIS,classf,True,mds,2,3,0.5635218672698354,0.5028041732696307,-0.5861898376423741
IRIS,classf,True,mds,3,2,0.6591945584201014,0.6346470847980188,-0.5332233721570285
IRIS,classf,True,mds,4,2,0.6509693114209254,0.6381669444720655,-0.5339660965983571
IRIS,classf,False,feature,0,2,0.6872543872880774,0.6161997959901352,-0.6331944897420987
IRIS,classf,False,feature,1,2,0.6928571016004613,0.6384170860268955,-0.6383590819015351
IRIS,classf,False,feature,2,3,0.44581457346430786,0.6958868051503316,-0.644352123312828
IRIS,classf,False,feature,3,2,0.697326909340584,0.6442932677221416,-0.643592419258577
IRIS,classf,False,feature,4,2,0.6872196404317348,0.619413650974389,-0.6359145430527163
IRIS,classf,False,mds,0,3,0.5418185987207754,0.4548027914358878,-0.5775703164658922
IRIS,classf,False,mds,1,3,0.5325698487417811,0.4929924538586736,-0.5398441131228406
IRIS,classf,False,mds,2,2,0.6498889839156107,0.6381669444720655,-0.5328527958075004
IRIS,classf,False,mds,3,3,0.5846163676678966,0.5303362333293967,-0.5730596622843205
IRIS,classf,False,mds,4,2,0.5195261244732365,0.3854216920631975,-0.5826350523143291
JAIN,classf,True,feature,0,3,0.5055543810482424,0.2327147673317287,-0.5056127101003548
